@RELATION all_data_pacman

@ATTRIBUTE legal_actions_west {0, 1}
@ATTRIBUTE legal_actions_stop {0, 1}
@ATTRIBUTE legal_actions_east {0, 1}
@ATTRIBUTE legal_actions_north {0, 1}
@ATTRIBUTE legal_actions_south {0, 1}
@ATTRIBUTE ghost_distance NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE pacman_direction {West,Stop,East,North,South}
@ATTRIBUTE ghost_distanceNext NUMERIC
@ATTRIBUTE scoreNext NUMERIC

@DATA
0,1,0,1,1,4,356,South,4,355
0,1,0,1,1,4,355,North,4,354
0,1,0,1,1,4,354,North,3,353
0,1,0,1,1,3,353,North,3,352
0,1,0,1,1,3,352,North,3,351
0,1,0,1,1,3,351,South,2,350
0,1,0,1,1,2,350,South,2,349
0,1,0,1,1,2,349,South,2,348
0,1,0,1,1,2,348,South,2,347
0,1,0,1,1,2,347,South,3,346
0,1,0,1,1,3,346,South,4,345
0,1,0,1,1,4,345,South,3,344
0,1,0,1,1,3,344,South,3,343
0,1,0,1,1,3,343,South,3,342
0,1,1,1,1,3,342,South,3,341
0,1,0,1,1,3,341,North,3,340
0,1,0,1,1,3,340,North,2,339
0,1,0,1,1,2,339,North,2,338
0,1,0,1,1,2,338,North,2,337
0,1,0,1,1,2,337,North,2,336
0,1,0,1,1,2,336,North,3,335
0,1,0,1,1,3,335,North,3,334
0,1,0,1,1,3,334,North,2,333
0,1,0,1,1,2,333,North,2,332
0,1,0,1,1,2,332,North,3,331
0,1,0,1,1,3,331,North,2,330
0,1,0,1,1,2,330,North,2,329
0,1,0,1,1,2,329,South,2,328
0,1,0,1,1,2,328,South,2,327
0,1,0,1,1,2,327,North,2,326
0,1,0,1,1,2,326,South,2,325
0,1,0,1,1,2,325,North,2,324
0,1,0,1,1,2,324,North,2,323
0,1,0,1,1,2,323,North,2,322
0,1,0,1,1,2,322,North,2,321
0,1,0,1,1,2,321,South,2,320
0,1,0,1,1,2,320,South,2,319
0,1,0,1,1,2,319,South,2,318
0,1,1,1,1,2,318,South,6,517
1,1,1,0,1,6,517,East,6,516
1,1,1,1,1,6,516,East,6,515
0,1,1,1,1,6,515,North,5,514
0,1,1,1,1,5,514,North,4,513
0,1,1,1,1,4,513,North,2,512
0,1,1,0,1,2,512,North,2,511
1,1,1,0,1,2,511,East,9999,710
0,1,0,0,0,9999,710,East,13,-1
0,1,1,0,1,13,-1,Stop,14,-2
0,1,1,0,1,14,-2,Stop,15,-3
0,1,1,0,1,15,-3,Stop,14,-4
0,1,0,1,1,14,-4,South,12,-5
0,1,1,1,1,12,-5,South,12,-6
0,1,1,1,1,12,-6,South,10,-7
0,1,1,1,1,10,-7,South,9,-8
0,1,0,1,1,9,-8,South,7,-9
0,1,1,1,1,7,-9,South,7,-10
0,1,0,1,1,7,-10,South,5,-11
0,1,0,1,1,5,-11,South,3,-12
0,1,0,1,1,3,-12,South,2,-13
0,1,0,1,1,2,-13,South,3,-14
0,1,0,1,1,3,-14,South,3,-15
0,1,1,1,1,3,-15,South,3,-16
0,1,1,1,1,3,-16,South,1,-17
1,1,1,1,1,1,-17,East,1,-18
1,1,1,1,1,1,-18,East,2,-19
1,1,1,1,1,2,-19,East,2,-20
1,1,0,1,1,2,-20,East,3,-21
1,1,1,1,1,3,-21,North,3,-22
1,1,1,1,1,3,-22,North,2,-23
1,1,1,1,1,2,-23,North,2,-24
1,1,1,1,1,2,-24,North,1,-25
1,1,1,1,1,1,-25,West,2,-26
0,1,1,1,1,2,-26,West,2,-27
0,1,1,1,1,2,-27,South,2,-28
0,1,1,1,1,2,-28,South,1,-29
1,1,1,1,1,1,-29,East,2,170
1,1,1,1,1,2,170,East,2,169
1,1,1,1,1,2,169,North,2,168
1,1,1,1,1,2,168,North,5,367
1,1,1,1,1,5,367,West,7,366
0,1,1,1,1,7,366,West,6,365
0,1,1,1,1,6,365,West,5,364
1,1,1,1,1,5,364,East,3,363
1,1,1,1,1,3,363,South,3,362
1,1,1,1,1,3,362,South,2,361
1,1,1,1,1,2,361,South,2,560
1,1,1,1,1,2,560,South,1,559
1,1,1,1,1,1,559,South,1,558
1,1,1,1,0,1,558,South,9999,710
0,1,0,0,0,9999,710,East,3,-1
1,1,1,0,0,3,-1,Stop,2,-2
1,1,1,0,0,2,-2,Stop,3,-3
1,1,1,0,0,3,-3,Stop,2,-4
1,1,1,0,0,2,-4,Stop,2,-5
1,1,1,0,0,2,-5,Stop,3,-6
1,1,1,0,0,3,-6,Stop,3,-7
1,1,1,0,1,3,-7,East,4,-8
1,1,1,0,1,4,-8,East,5,-9
1,1,1,1,1,5,-9,South,4,-10
1,1,1,1,1,4,-10,South,3,-11
0,1,1,1,1,3,-11,South,1,-12
1,1,1,1,1,1,-12,South,1,-13
1,1,1,1,1,1,-13,South,7,186
1,1,1,1,1,7,186,West,7,185
1,1,1,1,1,7,185,West,8,184
1,1,1,1,1,8,184,West,8,183
0,1,1,1,1,8,183,West,8,182
0,1,1,1,1,8,182,South,10,181
1,1,1,1,0,10,181,South,10,180
1,1,1,0,0,10,180,West,8,179
1,1,1,1,0,8,179,West,7,178
1,1,1,1,0,7,178,West,7,177
1,1,1,1,0,7,177,West,7,176
1,1,1,1,0,7,176,West,5,175
1,1,1,1,0,5,175,West,5,174
1,1,1,1,0,5,174,West,3,173
1,1,1,1,0,3,173,West,3,172
1,1,1,1,1,3,172,North,2,171
1,1,1,1,1,2,171,North,13,370
1,1,1,1,1,13,370,North,12,369
1,1,1,1,1,12,369,North,13,368
0,1,1,1,1,13,368,West,14,367
0,1,1,1,1,14,367,West,13,366
0,1,1,1,1,13,366,West,12,365
0,1,1,1,1,12,365,West,13,364
0,1,1,1,1,13,364,West,14,363
0,1,1,1,1,14,363,South,16,362
0,1,1,1,1,16,362,South,17,361
0,1,1,1,1,17,361,South,17,360
0,1,1,1,0,17,360,South,16,359
0,1,1,1,0,16,359,South,16,358
1,1,1,1,0,16,358,East,16,357
1,1,1,1,0,16,357,East,14,356
1,1,1,1,1,14,356,North,12,355
1,1,1,1,1,12,355,North,12,354
1,1,1,1,1,12,354,North,10,353
1,1,1,1,1,10,353,North,10,352
1,1,1,1,1,10,352,North,10,351
1,1,1,1,1,10,351,North,8,350
1,1,1,1,1,8,350,North,8,349
1,1,0,1,1,8,349,North,8,348
1,1,0,1,1,8,348,North,8,347
1,1,0,1,1,8,347,North,8,346
1,1,1,0,1,8,346,North,8,345
1,1,1,0,1,8,345,North,7,344
1,1,1,0,0,7,344,East,5,343
1,1,1,0,0,5,343,East,5,342
1,1,1,0,0,5,342,East,3,341
1,1,1,0,0,3,341,East,2,340
1,1,1,0,1,2,340,East,1,339
1,1,1,0,1,1,339,East,1,538
1,1,1,0,1,1,538,East,9999,710
0,1,0,0,0,9999,710,East,12,-1
1,1,1,0,1,12,-1,Stop,13,-2
1,1,1,0,1,13,-2,Stop,12,-3
1,1,1,0,1,12,-3,Stop,12,-4
1,1,1,0,1,12,-4,Stop,11,-5
1,1,1,0,1,11,-5,Stop,11,-6
1,1,1,0,1,11,-6,Stop,12,-7
1,1,1,0,1,12,-7,Stop,11,-8
1,1,1,0,1,11,-8,Stop,10,-9
1,1,1,0,1,10,-9,Stop,10,-10
1,1,1,0,1,10,-10,Stop,11,-11
1,1,1,0,1,11,-11,Stop,10,-12
1,1,1,0,1,10,-12,Stop,11,-13
1,1,1,0,1,11,-13,Stop,11,-14
1,1,1,0,1,11,-14,Stop,10,-15
1,1,1,0,1,10,-15,Stop,11,-16
1,1,1,0,1,11,-16,Stop,11,-17
1,1,1,0,1,11,-17,Stop,10,-18
1,1,1,0,1,10,-18,East,8,-19
